,original_title,release_year,genre,duration,country,content_rating,director,income,_votes_,score
0,The Shawshank Redemption,1995-02-10,Drama,142,USA,R,Frank Darabont,28815245,2278845,9.3
1,The Godfather,1972-09-21,Crime,175,USA,R,Francis Ford Coppola,246120974,1572674,9.2
2,The Dark Knight,2008-07-23,Action,152,USA,PG-13,Christopher Nolan,1005455211,2241615,9.0
3,The Godfather: Part II,1975-09-25,Crime,220,USA,R,Francis Ford Coppola,408035783,1098714,9.0
4,Pulp Fiction,1994-10-28,Crime,154,USA,R,Quentin Tarantino,222831817,1780147,8.9
5,The Lord of the Rings: The Return of the King,2004-02-22,Action,201,New Zealand,PG-13,Peter Jackson,1142271098,1604280,8.9
6,Schindler's List,1994-03-11,Biography,195,USA,R,Steven Spielberg,322287794,1183248,8.9
7,12 Angry Men,1957-09-04,Crime,96,USA,Not Rated,Sidney Lumet,576,668473,8.9
8,Inception,2010-09-24,Action,148,USA,PG-13,Christopher Nolan,869784991,2002816,8.8
9,Fight Club,1999-10-29,Drama,139,UK,R,David Fincher,101218804,1807440,8.8
10,Forrest Gump,1994-10-06,Drama,142,USA,PG-13,Robert Zemeckis,678229452,1755490,8.8
11,The Lord of the Rings: The Fellowship of the Ring,2002-01-18,Action,178,New Zealand,PG-13,Peter Jackson,887934303,1619920,8.8
12,"Il buono, il brutto, il cattivo",1966-12-23,Western,161,Italy,Approved,Sergio Leone,25252481,672499,8.8
14,The Matrix,1999-05-07,Action,136,USA,R,"Lana Wachowski, Lilly Wachowski",465718588,1632315,8.7
15,The Lord of the Rings: The Two Towers,2003-01-16,Action,179,New Zeland,PG-13,Peter Jackson,951227416,1449778,8.7
16,Star Wars: Episode V - The Empire Strikes Back,1980-09-19,Action,124,USA,PG,Irvin Kershner,549265501,1132073,8.7
17,Goodfellas,1990-09-20,Biography,146,USA,R,Martin Scorsese,46879633,991505,8.7
18,One Flew Over the Cuckoo's Nest,1976-11-18,Drama,133,USA,R,Milos Forman,108997629,891071,8.7
19,Interstellar,2014-11-06,Adventure,169,USA,PG-13,Christopher Nolan,696742056,1449256,8.6
20,Se7en,1995-12-15,Crime,127,USA,R,David Fincher,327333559,1402015,8.6
21,The Silence of the Lambs,1991-03-05,Crime,118,USA,R,Jonathan Demme,272753884,1234134,8.6
22,Star Wars,1977-10-20,Action,121,USA,PG,George Lucas,775768912,1204107,8.6
23,Saving Private Ryan,1998-10-30,Drama,169,USA,R,Steven Spielberg,482349603,1203825,8.6
24,The Green Mile,2000-10-03,Crime,189,USA,R,Frank Darabont,286801374,1112336,8.6
25,Cidade de Deus,2003-05-09,Crime,130,Brazil,R,"Fernando Meirelles, KÃ¡tia Lund",30680793,685856,8.6
26,Sen to Chihiro no kamikakushi,2003-04-18,Animation,125,Japan,PG,Hayao Miyazaki,355467056,626693,8.6
27,La vita B9 bella,1997-12-20,Comedy,116,Italy,,Roberto Benigni,230098753,605648,8.6
28,Gisaengchung,2019-11-07,Comedy,132,South Korea,,Bong Joon Ho,257604912,470931,8.6
29,It's a Wonderful Life,1948-03-11,Drama,130,USA,PG,Frank Capra,6130720,388310,8.6
30,Shichinin no samurai,1955-08-19,Action,207,Japan,Unrated,Akira Kurosawa,322773,307958,8.6
31,Gladiator,2000-05-19,Action,155,USA,R,Ridley Scott,465361176,1308193,8.5
32,The Departed,2006-10-27,Crime,151,USA,R,Martin Scorsese,291465034,1159703,8.5
33,The Prestige,2006-12-22,Drama,130,UK,PG-13,Christopher Nolan,109676311,1155723,8.5
34,Back to the Future,1985-10-18,Adventure,116,USA,PG,Robert Zemeckis,388774684,1027330,8.5
35,American History X,1999-08-27,Drama,119,USA,R,Tony Kaye,23875127,1014218,8.5
36,LÃ©on,1995-04-07,Action,110,France,,Luc Besson,19552639,1007598,8.5
37,Terminator 2: Judgment Day,1991-12-19,Action,137,USA,R,James Cameron,520884847,974970,8.4
38,The Usual Suspects,1995-11-30,Crime,106,USA,R,Bryan Singer,23341568,968947,8.4
39,The Lion King,1994-11-25,Animation,88,USA,G,"Roger Allers, Rob Minkoff",968511805,917248,8.4
40,Joker,2019-10-03,Crime,122,USA,,Todd Phillips,1074251311,855097,8.4
41,Intouchables,2012-02-24,Biography,112,France,,"Olivier Nakache, Ãric Toledano",426588510,736691,8.4
42,The Pianist,2002-10-25,Biography,150,UK,R,Roman Polanski,120072577,707942,8.4
43,Whiplash,2015-02-12,Drama,106,USA,R,Damien Chazelle,48983260,690732,8.4
44,Psycho,1960-10-28,Horror,109,USA,R,Alfred Hitchcock,32008644,586765,8.3
45,Casablanca,2046-11-21,Drama,102,USA,PG,Michael Curtiz,4374761,509953,8.3
46,C'era una volta il West,1968-12-21,Western,165,Italy,PG-13,Sergio Leone,112911,295220,8.3
47,Hotaru no haka,2015-10-11,Animation,89,Japan,,Isao Takahata,516962,225438,8.3
48,Nuovo Cinema Paradiso,1988-11-17,Drama,155,Italy,,Giuseppe Tornatore,13826605,223050,8.3
49,Modern Times,1937-03-12,Comedy,87,USA,G,Charles Chaplin,457688,211250,8.3
50,The Dark Knight Rises,2012-08-29,Action,164,UK,PG-13,Christopher Nolan,1081133191,1480582,8.3
51,Django Unchained,2013-01-17,Drama,165,USA,R,Quentin Tarantino,425368238,1317856,8.3
52,Memento,2001-01-19,Mystery,113,USA,R,Christopher Nolan,39970386,1098879,8.2
53,WALLÂ·E,2008-10-17,Animation,98,USA,G,Andrew Stanton,521311860,974734,8.2
54,The Shining,1980-12-22,Drama,146,UK,R,Stanley Kubrick,46520613,869480,8.2
55,Raiders of the Lost Ark,1981-06-12,Action,115,USA,PG,Steven Spielberg,390133212,865510,8.2
56,Avengers: Infinity War,2018-04-25,Action,149,USA,,"Anthony Russo, Joe Russo",2048359754,796486,8.2
57,Alien,1979-10-25,Horror,117,UK,R,Ridley Scott,108110316,768874,8.2
58,Avengers: Endgame,2019-04-24,Action,181,USA,,"Anthony Russo, Joe Russo",2797800564,754786,8.2
59,Apocalypse Now,1979-12-18,Drama,147,USA,R,Francis Ford Coppola,91968688,591251,8.2
60,Oldeuboi,2005-05-06,Action,120,South Korea,R,Chan-wook Park,15002116,501082,8.1
61,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-04-03,Comedy,95,UK,PG,Stanley Kubrick,9443876,441115,8.1
62,Rear Window,1955-04-14,Mystery,112,USA,,Alfred Hitchcock,37032034,432390,8.1
63,Coco,2017-12-28,Animation,105,USA,,"Lee Unkrich, Adrian Molina",807083670,352455,8.1
64,Das Leben der Anderen,2007-04-06,Drama,137,Germany,R,Florian Henckel von Donnersmarck,77356942,349642,8.1
65,Spider-Man: Into the Spider-Verse,2018-12-25,Animation,117,USA,,"Bob Persichetti, Peter Ramsey",375540831,335892,8.1
66,3 Idiots,2009-12-25,Comedy,170,India,,Rajkumar Hirani,60262836,332217,8.1
67,Mononoke-hime,2000-05-19,Animation,134,Japan,PG-13,Hayao Miyazaki,169785629,331045,8.0
68,Once Upon a Time in America,1984-09-28,Crime,229,USA,R,Sergio Leone,5472914,302317,8.0
69,The Great Dictator,1945-06-25,Comedy,125,USA,,Charles Chaplin,969879,197381,8.0
70,Sunset Blvd.,,Drama,110,USA,,Billy Wilder,299645,195789,8.0
71,Inglourious Basterds,2009-10-02,Adventure,153,Germany,R,Quentin Tarantino,321455689,1229958,8.0
72,American Beauty,2000-01-21,Drama,122,USA,R,Sam Mendes,356296601,1049009,8.0
73,Braveheart,1995-12-01,Biography,178,USA,R,Mel Gibson,213216216,941683,7.9
74,Star Wars: Episode VI - Return of the Jedi,1983-10-21,Action,131,USA,PG,Richard Marquand,475347111,928036,7.9
75,Reservoir Dogs,1992-10-09,Crime,99,USA,R,Quentin Tarantino,2889963,896551,7.9
76,Eternal Sunshine of the Spotless Mind,2004-10-22,Drama,108,USA,R,Michel Gondry,74036715,889875,7.9
77,Toy Story,1996-03-22,Animation,81,USA,G,John Lasseter,404265438,864461,7.9
78,Good Will Hunting,1998-03-06,Drama,126,USA,R,Gus Van Sant,225933435,837379,7.8
